Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
ME/EKJ/78O14/2015/23,Meghalaya,East Khasi Hills, ,NH-40,25.695552,91.903777,,,,Active
MG/WKH/78O02/2017/106,Meghalaya,West Khasi Hills,1.2 km NNE of Nongprut,Riangdo  Boko road,25.699306,91.055556,,,,Suspended
ME/EKJ/78O14/2015/37,Meghalaya,East Khasi Hills, ,Old shillong -Guwahati road,25.614664,91.870266,,,,Relict
MG/SGH/78K11/2018/5,Meghalaya,South Garo hills,Nengkhra-Nongalbibra road slide,NH-62,25.47542,90.698611,,,,Inactive
MG/EKH/78O12/2017/25,Meghalaya,East Khasi Hills, ,<Null>,25.229706,91.745297,,,,Active
MG/EJH/83C11/2018/14,Meghalaya,East Jaintia Hills,Thuruk slide no 2,Lura-Thuruk road,25.316589,92.687186,,,,Active
ME/EKJ/78O14/2015/12,Meghalaya,East Khasi Hills, ,Near Nongumlong,25.571747,91.827526,,,,Suspended
MEG/WJH/83C4/2016/52,Meghalaya,East Jaintia Hills,Rathacherra,NH44,25.034289,92.435222,,,,Suspended
MG/EKH/78O12/2017/15,Meghalaya,East Khasi Hills, ,Along approach road to Laitiam village,25.227249,91.748917,,,,Reactivated
MEG/WJH/83C4/2016/101,Meghalaya,East Jaintia Hills,0.8 km Wof Kuliang,NH44,25.079722,92.359361,,,,Suspended
ME/EKJ/78O14/2015/29,Meghalaya,East Khasi Hills, ,Mawatawar- Bhoilymbong Rd,25.637189,91.93345,,,,Active
ML/RIB/78O13/2014/07,Meghalaya,Ri-Bhoi,Shangbangla,GS road,25.95847,91.85406,,,,Suspended
MG/WKH/78O02/2017/81,Meghalaya,West Khasi Hills,0.8 km NNW of Seinduli,NH44E,25.660825,91.143689,,,,Suspended
MEG/WKH/78O10/2016/01,Meghalaya,West Khasi Hills,NH44E slide1,NH44E,25.524931,91.514383,,,,Active
MG/WKH/78O02/2017/4,Meghalaya,West Khasi Hills,0.5 km E of Umjaru,NH44E,25.585389,91.1765,,,,Suspended
ME/EKJ/78O15/2015/139,Meghalaya,East Khasi Hills, ,Approach road to Mawkhap,25.350166,91.972582,,,,Active
ME/EKJ/78O15/2015/91,Meghalaya,East Khasi Hills, ,NH-40 (Shillong-Pynursla road),25.393914,91.872066,,,,Reactivated
MEGH/EKH/83C02/2009/D-35,Meghalaya,Jaintial hills,Kongong-2 slide,NH-44 (Shillong-Silchar road),25.54261,92.09842,,,, 
ME/EKJ/78O15/2015/74,Meghalaya,East Khasi Hills, ,khrang approach road,25.353486,91.765544,,,,Suspended
 ,Meghalaya,South Garo Hills,,,25.21022222,90.63220278,Debris,Slide,Landslide   occurred   on   17th   June   2022   as   per   the information by locals.,Active
MEG/WKH/78O10/2016/11,Meghalaya,West Khasi Hills,Pyrda village slide1,2 km SE of Pyrda village,25.568056,91.737944,,,,Active
MG/EKH/78O16/2017/2,Meghalaya,East Khasi Hills, ,along sohrashella bypass from Sohbar village,25.205465,91.755789,,,,Active
MEG/RIB/78O09/2016/41,Meghalaya,Ri-Bhoi,Jirang village slide2,Patharkhamma Guwahati road 1.5 km NW of Jirang village,25.940439,91.563069,,,,Reactivated
MG/RIB/83B04/2018/1,Meghalaya,Ri-Bhoi,Umsiang-Markanduba road slide,Umsiang-Markanduba road,26.061,92.241,,,,Active
MG/WKH/78O06/2017/10,Meghalaya,West Khasi Hills,Siejlieh slide no. 2,NH44E Nongstoin bypass,25.544889,91.263722,,,,Active
 ,Meghalaya,West Jaintia Hills,,,25.45351667,92.18784722,Soil,Rotational,New 26.05.2020,Suspended
 ,Meghalaya,East Khasi Hill,,,25.49736111,91.77902778,Debris,Slide,New slide,Active
MG/EKH/78O16/2017/11,Meghalaya,East Khasi Hills, ,Along approach road to Laitiam village,25.223307,91.762345,,,,Active
MG/WKH/78O06/2017/6,Meghalaya,West Khasi Hills,Pyndengrei slide No 1,NH44E Nongstoinbypass,25.544917,91.270722,,,,Active
MG/EKH/78O12/2017/63,Meghalaya,East Khasi Hills, ,<Null>,25.159469,91.528337,,,,Active
MG/WGH/78K06/2020/13,Meghalaya,West Garo Hills,Jengjal-Addingre-Williamnagar road slide3,"NH-217,Paikan-Tura Dalu Road",25.65,90.38,,,,Dormant
MG/EGH/78K14/2018/5,Meghalaya,East Garo hills,East of Achengbok,-,25.635556,90.807778,,,,Active
MEGH/WKH/78O06/2007/D-8,Meghalaya,West Khasi Hills,Nongjyllieh slide, ,25.50335,91.28335,,,, 
MG/SWK/78O04/2017/3,Meghalaya,South West Khasi  Hills,Rajai slide,About 1 km NE of Rajai village,25.206763,91.231417,,,,Active
ME/EKJ/78O15/2015/112,Meghalaya,East Khasi Hills, ,NH-40 (Shillong-Dauki road),25.301383,91.922017,,,,Active
MG/EKH/78O12/2017/56,Meghalaya,East Khasi Hills, ,Along Sohra Mawlong road,25.229161,91.693249,,,,Active
ME/EKJ/78O15/2015/108,Meghalaya,East Khasi Hills, ,NH-40 (Shillong-Dauki road),25.294601,91.930853,,,,Active
ME/EKH/83C03/2015/184,Meghalaya,East Khasi Hills, , ,25.64575,92.071167,,,,Suspended
MG/WGH/78G14/2020/3,Meghalaya,West Garo Hills,Tura-Ampati road slide no 3,"SH-12, Tura-Ampati Road, near Kharugaon, Betasing.",25.53,89.98,,,,Active
MEG/WJH/83C4/2016/56,Meghalaya,East Jaintia Hills,1.23 km NW of Rathacherra,NH44,25.044136,92.430244,,,,Suspended
MEG/WKH/78O10/2016/18,Meghalaya,West Khasi Hills,NongkhlawPatharkhamma R.S6,NongkhlawPatharkhammah road,25.687856,91.647944,,,,Active
MEGH/WKH/78O11/2007/D-14,Meghalaya,West Khasi Hills,Jakrem East slide, ,25.40023,91.5159,,,, 
MEG/WJH/83C4/2016/132,Meghalaya,East Jaintia Hills,0.54 km NE of Lympyngngad, ,25.14965,92.214519,,,,Suspended
ME/EKJ/78O14/2015/51,Meghalaya,East Khasi Hills, ,NH-40,25.641194,91.890667,,,,Reactivated
MEG/WJH/83C4/2016/67,Meghalaya,East Jaintia Hills,Sonapur mandir 2,NH44,25.092981,92.353708,,,,Suspended
ME/WJH/83C03/2015/172,Meghalaya,West Jaintia Hills, , ,25.450464,92.095806,,,,Suspended
ME/EKJ/78O15/2015/140,Meghalaya,East Khasi Hills, ,1 km SW of Myllad village,25.315176,91.923021,,,,Active
MG/WGH/78K02/2020/1,Meghalaya,West Garo Hills,Lower Hawakhana slide,"Mohindra colony, Lower Hawakhana, Tura",25.51,90.21,,,,Active
MG/EKH/78O12/2017/35,Meghalaya,East Khasi Hills, ,Along Sohra Mawlong road,25.222501,91.714409,,,,Reactivated
ME/WJH/883C03/2015/191,Meghalaya,West Jaintia Hills, , ,25.356461,92.006278,,,,Suspended
ME/WJH/83C03/2015/176,Meghalaya,West Jaintia Hills, ,2km NW of Nongjrong,25.490472,92.069472,,,,Suspended
MEG/WJH/83C4/2016/124,Meghalaya,East Jaintia Hills,2.7km S of Umtyra,NH44,25.261117,92.385231,,,,Suspended
ME/EKJ/78O15/2015/84,Meghalaya,East Khasi Hills, ,Approach road to Lynyshing village,25.385535,91.988473,,,,Active
MEG/WKH/78O10/2016/10,Meghalaya,West Khasi Hills, ,Along NH44E near 40km mile stone,25.548089,91.647706,,,,Active
ME/EKH/83C02/2015/155,Meghalaya,East Khasi Hills, ,"1.7 km NE of Puriang,NH-44",25.545139,92.104778,,,,Suspended
MEG/WJH/83C4/2016/23,Meghalaya,West Jaintia Hills,1.87 km W of Power station,Myntdu Leshka power station road,25.233583,92.209583,,,,Suspended
MEG/WKH/78O10/2016/07,Meghalaya,West Khasi Hills,NH44E slide6,Along NH44E near 0.5 km NE of Mawlong,25.549789,91.645033,,,,Active
MG/EKH/78O12/2017/44,Meghalaya,East Khasi Hills, ,Along Sohra Mawlong road,25.2071,91.741225,,,,Active
ME/EKH/83C02/2015/150,Meghalaya,East Khasi Hills, ,"1.2 km E of Diengpasoh, NH-44",25.592972,92.055139,,,,Suspended
