Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
AP/US/83I01/2021/11,Arunachal Pradesh,Upper Subansiri,2.2 km E of Daporijo town slide,E of Daporijo town,28.005389,94.201306,,,,Reactivated
AR/WS/83I13/2022/095,Arunachal Pradesh,West Siang,Likabali-Aalo road Slide 4,Likabali-Aalo road,27.859444,94.789222,,,,Active
AP/DV/82P/13/2022/LS-117,Arunachal Pradesh,Dibang Valley,Mipi  slide, South of Mipi village.,28.785391,95.892707,,,,Suspended
AP/LDV/82P15/2022/20,Arunachal Pradesh,Lower Dibang Valley, From Roing 26.8 kms along NH-313 towards Hunli,Newly connstructing Roing-Hunli/ Anini road NH-313,28.257258,95.777764,,,,Active
AR/CHNG/83M12/2022/051,Arunachal Pradesh,Changlang,2.7km SE of Yanman,Changlang-Khimioyng road,27.047848,95.729657,,,,Active
AR/CHNG/92A03/2022/078,Arunachal Pradesh,Changlang,400m E of Nogthey,"NH-315,  Nampong-Rima Road",27.309012,96.158495,,,,Active
AP/LDV/82P11/2022/LS56,Arunachal Pradesh,East Siang,Dambuk Slide,"NH-13, Dambuk area",28.148417,95.277964,,,,Active
AP/KM/83I01/2021/3,Arunachal Pradesh,Kamle,Hardampo slide,Hardampo,27.813833,94.134333,,,,Reactivated
AP/LDV/83P/11/2022/LS-91,Arunachal Pradesh,Lower Dibang Valley, Sisseri bridge slide, West ofSisseri bridge slide.,28.262338,95.565698,,,,Active
AR/US/82P02/2022/068,Arunachal Pradesh,Upper Siang,West of Kolung Slide 2,NH-513,28.56525,95.148333,,,,Active
AP/LDV/82P11/2022/LS80,Arunachal Pradesh,Dibang Valley,LS-80,NH-13,28.638336,95.856331,,,,Active
AP/LDV/82P16/2022/108,Arunachal Pradesh,Lower Dibang Valley, From Hunli 9.66 km along HMH road,Hunli-Metengliang-Hayuliang (HMH) road,28.309676,95.967453,,,,Active
AP/DV/82P/13/2022/LS-111,Arunachal Pradesh,Dibang Valley, Mipi slide,TwoardMipi village,28.77363,95.869239,,,,Active
AP/PAP/83E16/2021/14,Arunachal Pradesh,Papum Pare,West of Doimukh slide 3,W of Doimukh,27.236306,93.807167,,,,Active
AP/DV/84P/14/2022/LS-102,Arunachal Pradesh,Lower Dibang Valley, Anini Slide,"NH-13, Etalin to Anini",28.267216,95.559542,,,,Active
AP/PAP/83E12/2021/4,Arunachal Pradesh,Papum Pare,NE of Itanagar slide 1,NE of Itanagar,27.102944,93.640417,,,,Active
