Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MN/TAM/83H05/2018/15,Manipur,Tamenglong, ,Neigailong Tamenglong,24.986472,93.49425,,,,Active
MN/CHA/83L03/2018/62,Manipur,Chandel, ,1km north of Wamku,24.264317,94.096472,,,,Suspended
MN/SEN/83K02/2014/02,Manipur,Senapati,Mao Gate,NH-39,25.51378,94.14089,,,,Suspended
MAN/SEN/83K03/2015/66,Manipur,Senapati, ,Along Thingba Khullen and Oinam raod,25.344389,94.199722,,,,Active
MN/TAM/83H05/2018/10,Manipur,Tamenglong, ,NH-137,24.860889,93.463222,,,,Active
MN/KAM/83L06/2018/15,Manipur,Kamjong, ,Kasom Khullen (cultivation area),24.676078,94.253133,,,,Reactivated
MN/CHA/83L03/2018/5,Manipur,Chandel, ,Wamku,24.301806,94.059917,,,,Inactive
MAN/TAM/83G12/2017/0036,Manipur,Tamenglong, ,Govajang road,25.165472,93.695528,,,,Active
MN/CCP/83H12/2020/28,Manipur,Churachandpur, ,Singngat-Tedem road,24.11,93.58,,,,Active
MN/UKH/83K11/2017/9,Manipur,Ukhrul, ,Chingai,25.321861,94.523839,,,,Active
MN/CCP/83H11/2020/27,Manipur,Churachandpur, ,Saikot Road- Vaiphakawat village,24.33,93.67,,,,Active
MN/CDL/83H16/2020/26,Manipur,Chandel, ,Tengnoupal,24.16,93.95,,,,Suspended
MN/UKH/83K11/2017/39,Manipur,Ukhrul, ,Poi,25.288417,94.539528,,,,Active
MN/KAN/83H13/2018/18,Manipur,Kangpokpi, ,Nakhujang,24.940611,94.009083,,,,Active
MN/KAM/83L09/2017/47,Manipur,Kamjong, ,Kongkan,24.817028,94.534528,,,,Active
MN/NON/83H09/2018/6,Manipur,Noney, ,NH37,24.791389,93.735417,,,,Active
MAN/SEN/83K03/2015/14,Manipur,Senapati, ,South of Bollen Kuki,25.304917,94.011444,,,,Active
MAN/TAM/83G12/2017/0055,Manipur,Tamenglong, ,Dailong road,25.013161,93.529758,,,,Active
MN/CCP/83H08/2020/5,Manipur,Churachandpur, ,1.5 km NE Dialkhai,24.22,93.3,,,,Active
MAN/UKH/83K08/2015/006,Manipur,Ukhrul, ,"Ukhrul- Imphal Highway, Near Patkai College",25.019139,94.332472,,,,Active
MN/KAN/83L02/2018/3,Manipur,Kangpokpi, ,Salam Patong,24.686417,94.153333,,,,Active
MN/KAN/83H13/2018/4,Manipur,Kangpokpi, ,Longa koireng,24.784556,93.777972,,,,Active
MAN/SEN/83K03/2015/42,Manipur,Senapati, ,Northwest of New Magamai,25.439367,94.025864,,,,Active
MN/CCP/83H11/2020/26,Manipur,Churachandpur, ,Saikot Road- Vaiphakawat village,24.27,93.67,,,,Active
MN/UKH/83K11/2017/17,Manipur,Ukhrul, ,Chingai,25.325778,94.515694,,,,Active
MN/KAM/83L09/2017/52,Manipur,Kamjong, ,Lakhan,24.8155,94.572222,,,,Active
MN/KAM/83L05/2018/23,Manipur,Kamjong, ,Khuntak Awang Village Road,24.847611,94.357889,,,,Reactivated
MN/UKH/83K12/2017/37,Manipur,Ukhrul, ,Mapum,25.095056,94.547722,,,,Active
MN/CDL/83H16/2020/33,Manipur,Chandel, ,Tengnoupal,24.01,93.98,,,,Suspended
MN/CCP/83H12/2020/14,Manipur,Churachandpur, ,Singat-Thangpijol-Tiddim Road,24.06,93.57,,,,Active
MN/NON/83H05/2018/67,Manipur,Noney, ,Rengpang,24.747694,93.462667,,,,Active
MN/KAM/83L05/2018/61,Manipur,Kamjong, ,1.8 km NE of Alang Village,24.831167,94.334111,,,,Reactivated
MN/NON/83H05/2018/68,Manipur,Noney, ,Rengpang,24.747833,93.462778,,,,Active
MN/CDL/83L04/2020/80,Manipur,Chandel, ,Charlong,24.25,94.08,,,,Active
MN/UKH/83L01/2018/29,Manipur,Ukhrul, ,Singta village,24.931333,94.228917,,,,Active
MAN/UKH/83K08/2015/033,Manipur,Ukhrul, ,Ukhrul Lamlang road.,25.079806,94.294111,,,,Active
MAN/SEN/83K04/2015/101,Manipur,Senapati, ,Along Tungou raod via Imphal,25.044111,94.233778,,,,Active
MN/NON/83H09/2018/1,Manipur,Noney, ,NH 37,24.801111,93.653111,,,,Active
MN/NON/83H09/2018/46,Manipur,Noney, ,NH-37,24.78725,93.696694,,,,Active
MN/CDL/83L04/2020/18,Manipur,Chandel, ,Shellon section,24.09,94.02,,,,Suspended
MN/UKH/83K11/2017/98,Manipur,Ukhrul, ,New Tusom,25.388056,94.550083,,,,Active
MN/CDL/83H16/2020/10,Manipur,Chandel, ,Tayang section,24.22,93.88,,,,Active
 ,Manipur,Senapati,,,25.51591667,94.13652778,Debris with minor bed rock,Rotational,"i. Recurring landslide along the east facing taxi stand and SDO office block as local information from local source. Temporal Google-earth satellite images suggest major landslide occur around 2006, constructed concrete retaining wall at the toe to the l",Active
MN/NON/83H05/2018/33,Manipur,Noney, ,Irang,24.836222,93.482111,,,,Active
MN/UKH/83K12/2017/62,Manipur,Ukhrul, ,Khayang,25.055278,94.567861,,,,Active
MN/UKH/83L01/2018/11,Manipur,Ukhrul, ,Zelenbung,24.955972,94.157889,,,,Active
MAN/TAM/83G12/2017/0069,Manipur,Tamenglong, ,Dailong road,25.061861,93.605361,,,,Active
MN/UKH/83K11/2017/8,Manipur,Ukhrul, ,Chingai,25.319389,94.50425,,,,Active
MN/CCP/83H08/2020/14,Manipur,Churachandpur, ,2 km NE Khayang,24.15,93.3,,,,Active
MN/NON/83H05/2018/45,Manipur,Noney, ,Rengpang,24.783806,93.455556,,,,Active
MAN/TAM/83G12/2017/0056,Manipur,Tamenglong, ,Dailong road,25.013083,93.530111,,,,Suspended
MN/CHA/83L02/2018/20,Manipur,Chandel, ,Machi,24.491667,94.160889,,,,Active
MN/NON/83H10/2018/8,Manipur,Noney, ,Data taken from Sangji village-Dolang village,24.672406,93.696858,,,,Active
MN/NON/83H10/2018/57,Manipur,Noney, ,"NH_37A, Imphal-Khoupum highway",24.62775,93.604611,,,,Active
MN/KAM/83L06/2018/32,Manipur,Kamjong, ,6 km SE of Kasom Khullen,24.664737,94.290345,,,,Reactivated
MN/CDL/83L04/2020/1,Manipur,Chandel, ,Along T. Minou to T. Khunomyang road,24.22,94.24,,,,Stabilized
MN/TEN/83L03/2018/50,Manipur,Tengnoupal, ,1km south of Machi,24.492333,94.143361,,,,Suspended
MN/CDL/83H16/2020/28,Manipur,Chandel, ,Near Khubum Khullen diversion along Chakpi-Firan Machet road,24.18,93.99,,,,Suspended
