Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
SKM/SS/78A08/2015/246,Sikkim,South Sikkim, ,Pachekhani-Melli Road,27.102639,88.394639,,,,Suspended
SKM/NS/78A11/2015/81,Sikkim,North Sikkim, ,Dikchu-Mangshila Road,27.397083,88.519167,,,,Active
SKM/WS/78A08/2015/293,Sikkim,West Sikkim, ,Namchi-Jorthang Road,27.157694,88.306806,,,,Suspended
SKM/NS/78A03/2017/52,Sikkim,West Sikkim, ,SH,27.326444,88.219,,,,Active
SKM/NS/78A03/2017/79,Sikkim,West Sikkim, ,SH,27.2275,88.220278,,,,Active
SK/WEST/78A07/2015/0234,Sikkim, West Sikkim, ,Northeast of Chingtang village,27.263389,88.292667,,,,Active
SKM/NS/78A10/2017/188,Sikkim,North Sikkim, ,NH,27.55525,88.647556,,,,Active
SKM/NS/78A10/2017/203,Sikkim,North Sikkim, ,NH,27.637167,88.712028,,,,Active
SKM/NS/78A10/2017/173,Sikkim,North Sikkim, ,NH,27.528722,88.600833,,,,Active
SKM/ES/78A11/2015/46,Sikkim, East Sikkim,Sichey,Ranka Road,27.348722,88.600556,,,,Active
SKM/NS/78A10/2017/214,Sikkim,North Sikkim, ,NH,27.724222,88.552861,,,,Active
SK/WEST/78A08/2015/0225,Sikkim, West Sikkim, ,Namgoon,27.240694,88.298389,,,,Active
SKM/ES/78A12/2015/20,Sikkim, East Sikkim, ,NH-31A,27.236583,88.509611,,,,Active
SKM/NS/78A04/2017/109,Sikkim,West Sikkim, ,SH,27.149972,88.184222,,,,Active
SKM/ES/78A11/2015/400,Sikkim, East Sikkim, ,Changhu_Nathula Road,27.375139,88.708028,,,,Active
SKM/NS/78A04/2017/133,Sikkim,West Sikkim, ,SH,27.161,88.094306,,,,Active
SKM/SS/78A08/2015/239,Sikkim,South Sikkim, ,Tinktam-Rheyong Road,27.244056,88.348056,,,,Active
SKM/SS/78A08/2015/296,Sikkim,South Sikkim, ,Namchi-Jorthang Road,27.173917,88.38525,,,,Active
