Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MZ/SER/84A15/2016/34,Mizoram,Serchhip, ,"About 50m West of dumping site, Chanmari veng, Serchhip-DIET Road",23.309091,92.86293,,,,Active
MZ/CHA/84E02/2017/7,Mizoram,Champhai, ,6km N of Rabung,23.705705,93.19007,,,,Active
MZ/CHA/84E08/2017/20,Mizoram,Champhai, ,Samthang village,23.150924,93.28563,,,,Active
MZ/LUN/84A16/2018/76,Mizoram,Lunglei, ,Southern outskirts of Thiltlang Village (NH 54),23.018612,92.920555,,,,Suspended
MIZ/AIZ/84A13/2016/14,Mizoram,Aizawl, ,E Phaileng on NH 150,23.918389,92.923472,,,,Active
MZ/CHA/84E05/2017/26,Mizoram,Champhai, ,KhuangphahVaikhawtlang section,23.78775,93.386887,,,,Suspended
MZ/AIZ/84A10/2015/211,Mizoram,Aizawl, ,"Maubawk, Aizawl - Tlawng Rd",23.720417,92.695667,,,,Stabilized
MZ/LUN/84A12/2018/70,Mizoram,Lunglei, ,Thenhlum-South Dampui Section,23.214001,92.588608,,,,Suspended
MZ/LUN/84B10/2020/78,Mizoram,Lunglei,Zehtet to Mautlang road slide 1,Zehtet to Mautlang road,22.66,92.71,,,,Active
MZ/SAI/84B15/2018/58,Mizoram,Saiha, ,Kawlchaw E to Serkawr road,22.399,92.964996,,,,Active
MIZ/AIZ/84A09/2016/91,Mizoram,Mamit, ,"Lengpui, NH 54 section",23.857278,92.646222,,,,Suspended
MZ/LUN/84A16/2018/12,Mizoram,Lunglei, ,Haulawng-Thenzawl Section (~1 km S of Mualthuam Village),23.097061,92.752235,,,,Suspended
MZ/AIZ/84E01/2017/92,Mizoram,Aizawl, ,SuangpuilawnE. Phaileng section,23.972027,93.014893,,,,Reactivated
MZ/LUNG/84B14/2018/27,Mizoram,Lunglei, ,"NH 54
",22.691999,92.841003,,,,Active
MZ/LUN/84B13/2018/118,Mizoram,Lunglei, ,Hnathial-Tarpho rd,22.968073,92.929916,,,,Active
MZ/LUN/84B13/2018/112,Mizoram,Lunglei, ,Chengpui-Rualveng Rd,22.955112,92.836403,,,,Active
MZ/SAI/84B15/2018/57,Mizoram,Saiha, ,"Kawlchaw E
",22.405001,92.950996,,,,Active
MZ/LAW/84B15/2018/39,Mizoram,Lawngtlai, ,Vathuampui Road,22.309944,92.768333,,,,Suspended
MZ/LUN/84B13/2018/97,Mizoram,Lunglei, ,Darzo-Tuipui,22.902401,92.941025,,,,Active
MZ/AIZ/83D16/2016/116,Mizoram,Aizawl, ,2km east of New Vervek,24.182783,92.949911,,,,Active
MZ/CHA/84E02/2017/0069,Mizoram,Champhai, ,2.5 km N of Tuisen bridge,23.57348,93.102938,,,,Active
MZ/CHA/84E08/2017/48,Mizoram,Champhai, ,SH Farkawn Thekte Rd,23.058,93.280568,,,,Active
MZ/LAW/84B10/2020/18,Mizoram,Lawngtlai,Kamlanagar IV slide,Kamlanagar IV,22.61,92.64,,,,Suspended
MZ/CHA/84E03/2017/39,Mizoram,Champhai, ,ChamphaiKhawzawl Rd,23.474056,93.225889,,,,Active
MZ/LAW/84B14/2018/49,Mizoram,Lawngtlai, ,Lawngtlai to Ngengpuikai Road,22.538,92.857002,,,,Active
MIZ/AIZ/84A09/2016/109,Mizoram,Kolasib, ,Aizaw-Silchar road,23.971078,92.682781,,,,Suspended
MZ/AIZ/84A10/2014/03,Mizoram,Aizawl,Vengthar,"Tlangnuan, Vengthar",23.70272,92.71631,,,,Suspended
MIZ/AIZ/84A09/2016/111,Mizoram,Kolasib, ,Aizaw-Silchar road (~100m from prev loc 205),23.973684,92.683868,,,,Suspended
MZ/CHA/84E03/2017/14,Mizoram,Champhai, ,Khawzawl  Khawhai road,23.424417,93.167306,,,,Active
MZ/AIZ/84A14/2015/89,Mizoram,Aizawl, ,"western slope of 1052 peak, S of Thingsultliah Hospital",23.680931,92.859617,,,,Active
MZ/CHA/84E03/2017/33,Mizoram,Champhai, ,KhawzawlChamphai Rd,23.471889,93.246333,,,,Active
MZ/AIZ/83D15/2020/9,Mizoram,Aizawl,Tinghmun-Zohmun section slide,Tinghmun-Zohmun road section,24.29,92.96,,,,Abandoned
MZ/LUN/84A16/2018/74,Mizoram,Lunglei, ,Northern outskirts of Thiltlang Village (NH 54),23.022125,92.919952,,,,Suspended
MZ/LUN/84A16/2018/20,Mizoram,Lunglei, ,S. Zote- Chipphir Section,23.183332,92.794724,,,,Inactive
MZ/AIZ/84E02/2017/29,Mizoram,Aizawl, ,8.6km E of Saitual,23.657,93.028012,,,,Active
MZ/AIZ/84E01/2017/68,Mizoram,Aizawl, ,Suangpuilawn village,23.956528,93.041084,,,,Suspended
MZ/CHA/84E06/2017/17,Mizoram,Champhai, ,Murlen village,23.660361,93.285548,,,,Active
MZ/AIZ/84E01/2017/82,Mizoram,Aizawl, ,8 km from Phullen along PhullenPhuaibuang section,23.848083,93.076691,,,,Suspended
MZ/KOL/83D15/2020/33,Mizoram,Kolasib,Saipum-Tuirial dam slide 7,Saipum-Tuirial dam- Mauchhar road section,24.36,92.89,,,,Active
MZ/LUN/84A12/2018/64,Mizoram,Lunglei, ,Tleu-Thenhlum Section,23.204981,92.57457,,,,Reactivated
MZ/LUN/84B13/2018/115,Mizoram,Lunglei, ,3km N of Pukpui,22.962877,92.738541,,,,Active
MZ/AIZ/83D16/2016/123,Mizoram,Aizawl, ,towards Tuival R.,24.199185,92.992094,,,,Active
