sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label,district,date,landslide_type,area_m2,curvature,distance_to_drainage,terrain_ruggedness
SKM/SS/78A08/2015/324,27.133806,88.342778,1192.6,30.01,101.37,0.0,,grassland,3957.1,1,South Sikkim,,Slide,750,0.021981,457.2,48.24
SKM/SS/78A08/2015/226,27.126306,88.378667,1123.6,41.74,222.66,0.0,,grassland,4014.5,1,South Sikkim,,Slide,320,0.00847,587.8,64.1
SK/WEST/78A08/2015/0224,27.117556,88.323667,391.5,51.08,251.77,0.1176,,forest,3742.2,1,West Sikkim,,Slide,0,-0.01234,106.0,89.81
 ,27.316639,88.458611,529.5,11.65,91.7,0.4471,,forest,6942.0,1,East Sikkim,Landslide incidence has happened on 18th & 19th October 2021.,,,0.000131,106.0,14.7
SKM/SS/78A08/2015/200,27.219444,88.391111,1570.1,28.26,292.79,0.1882,,forest,4737.5,1,South Sikkim,,Slide,60,0.006491,146.9,39.26
SKM/SS/78A08/2015/222,27.133722,88.390833,1652.4,35.26,189.61,0.0,,forest,4043.5,1,South Sikkim,,Slide,6000,0.003563,881.6,50.95
SKM/SS/78A07/2015/285,27.273083,88.389528,1213.5,42.77,148.72,0.0,,forest,5281.3,1,South Sikkim,,Slide,375,0.012627,436.9,66.43
SKM/ES/78A11/2015/41,27.315028,88.558139,1235.1,35.03,176.6,0.2824,,forest,5803.2,1,East Sikkim,,Fall,450,0.011861,29.4,51.38
SKM/ES/78A11/2015/410,27.365056,88.655167,2341.3,31.84,215.13,0.0824,,built-up,5120.1,1,East Sikkim,,Slide,8000,0.013554,185.9,46.62
SKM/SS/78A07/2015/342,27.366944,88.449806,1681.5,28.74,117.44,0.0,,forest,6786.3,1,South Sikkim,,Slide,4000,0.010556,744.0,41.0
SKM/NS/78A04/2017/117,27.158972,88.090944,2194.8,32.91,316.77,0.1176,,forest,3914.8,1,West Sikkim,,Slide,900,-0.002888,211.9,47.56
SKM/ES/78A11/2015/67,27.395639,88.621667,1598.4,35.49,178.41,0.0,,forest,5859.7,1,East Sikkim,,Slide,375,0.00078,710.8,50.64
SKM/NS/78A10/2017/168,27.517306,88.542889,1316.4,36.37,37.03,0.0,,built-up,8256.6,1,North Sikkim,,Slide,2400,0.000211,705.3,53.32
SKM/NS/78A11/2015/24,27.417306,88.622361,1396.6,32.63,212.81,0.0941,,forest,5948.6,1,North Sikkim,,Slide,20,0.008376,242.3,46.33
SKM/SS/78A12/2015/148,27.22575,88.49325,383.7,46.89,284.2,0.2,,forest,5234.0,1,South Sikkim,,Slide,160,0.009246,88.2,78.69
SKM/NS/78A03/2017/74,27.258778,88.202639,1261.2,31.31,87.64,0.1294,,forest,5623.9,1,West Sikkim,,Slide,200,0.000728,83.1,44.12
SKM/ES/78A11/2015/136,27.372806,88.739139,3483.3,30.34,206.06,0.2,,grassland,3603.3,1,East Sikkim,,Slide,600,0.013341,117.6,43.86
SKM/NS/78A03/2017/75,27.260861,88.233278,1167.5,32.3,16.92,0.0118,,forest,5049.5,1,West Sikkim,,Slide,8000,0.020467,312.4,48.87
SKM/WS/78A08/2015/347,27.213556,88.321833,485.5,23.73,91.66,0.2706,,built-up,4067.0,1,West Sikkim,,Slide,6000,-0.009232,106.0,32.88
SKM/NS/78A11/2015/84,27.420028,88.515944,662.1,49.9,274.55,0.3647,,forest,6527.6,1,North Sikkim,,Fall,150,0.020448,29.4,87.67
SKM/NS/78A03/2017/21,27.282917,88.189556,1743.2,28.09,119.86,0.0,,forest,5541.2,1,West Sikkim,,Slide,15,0.005539,383.2,38.61
SKM/SS/78A08/2015/221,27.133556,88.39475,1674.7,28.27,173.41,0.0,,forest,4038.2,1,South Sikkim,,Slide,1000,-0.008518,499.6,39.81
