latitude,longitude,district,label,elevation,slope,curvature,distance_to_drainage,land_cover_class,landcover_bare_sparse_vegetation,landcover_built_up,landcover_cropland,landcover_grassland,landcover_tree_cover,landcover_water
25.02318261087809,92.47496585704744,Cachar,0,72.86018371582031,15.29121208190918,-0.010937538929283619,81.17427089874556,tree_cover,0,0,0,0,1,0
24.966326164401163,92.60817983077847,Cachar,0,15.913832664489746,2.6136481761932373,-0.07405301183462143,81.17427089874556,water,0,0,0,0,0,1
25.00537924804251,93.16972867649959,Cachar,0,127.10861206054688,8.699274063110352,0.513465940952301,202.9356772468639,tree_cover,0,0,0,0,1,0
24.98256406238188,92.58215906736692,Cachar,0,35.25660705566406,7.55181884765625,0.8920180201530457,86.09831611556521,tree_cover,0,0,0,0,1,0
24.619957482575508,92.98540978142049,Cachar,0,50.36704635620117,21.018291473388672,0.24366499483585358,103.47729782859263,tree_cover,0,0,0,0,1,0
24.515469183605898,92.90260149068666,Cachar,0,75.30391693115234,10.61204719543457,0.6215556859970093,463.65362189908325,tree_cover,0,0,0,0,1,0
25.009994688246053,92.51134448860938,Cachar,0,30.012432098388672,2.071561098098755,-0.17452405393123627,206.95459565718525,tree_cover,0,0,0,0,1,0
24.912606148003164,92.85358393455422,Cachar,0,29.568588256835938,2.0430617332458496,0.1124117448925972,453.777969383945,built_up,0,1,0,0,0,0
24.96298891984925,92.65139166595263,Cachar,0,21.037479400634766,0.5578713417053223,-0.2568010687828064,0.0,cropland,0,0,1,0,0,0
24.967515810492657,92.77572480376288,Cachar,0,63.22642517089844,25.74184226989746,0.5126045346260071,426.6478288007844,tree_cover,0,0,0,0,1,0
24.966687616441565,92.95609618330857,Cachar,0,66.31380462646484,4.306727409362793,1.4803951978683472,345.58700552677846,tree_cover,0,0,0,0,1,0
25.004623835380574,92.74183662159803,Cachar,0,45.34654998779297,8.33349895477295,-0.27052438259124756,103.47729782859263,tree_cover,0,0,0,0,1,0
24.899619504609692,93.07838458911719,Cachar,0,32.16126251220703,0.1071523129940033,-0.03145190700888634,28.699438705188403,cropland,0,0,1,0,0,0
25.0284889279131,92.76836053004175,Cachar,0,48.217071533203125,16.266050338745117,-0.6599482297897339,40.58713544937278,tree_cover,0,0,0,0,1,0
24.992322543420485,92.46745925675907,Cachar,0,58.598758697509766,9.948633193969727,1.5296483039855957,516.5898966933912,tree_cover,0,0,0,0,1,0
24.61661308848085,92.84055024684942,Cachar,0,26.46337890625,3.024789333343506,0.011173278093338013,272.266781630367,cropland,0,0,1,0,0,0
